"x","y","pos","order"
2098.47705078125,5355.3515625,"2098.47705078125_5355.3515625",10032
2097.52368164062,5252.52587890625,"2097.52368164062_5252.52587890625",10135
2064.654296875,5114.53857421875,"2064.654296875_5114.53857421875",18003
2061.00903320312,4918.71044921875,"2061.00903320312_4918.71044921875",6040
2093.06201171875,4855.32861328125,"2093.06201171875_4855.32861328125",4814
2106.41625976562,4807.6455078125,"2106.41625976562_4807.6455078125",34242
2139.20068359375,4674.25341796875,"2139.20068359375_4674.25341796875",366
2153.29296875,4629.376953125,"2153.29296875_4629.376953125",35330
2184.00512695312,4535.32763671875,"2184.00512695312_4535.32763671875",14882
2231.69287109375,4436.61572265625,"2231.69287109375_4436.61572265625",35357
2253.62353515625,4369.7705078125,"2253.62353515625_4369.7705078125",19227
2259.43408203125,4342.3720703125,"2259.43408203125_4342.3720703125",13408
2309.16137695312,4217.33154296875,"2309.16137695312_4217.33154296875",23931
2334.7060546875,4142.248046875,"2334.7060546875_4142.248046875",32661
2353.00366210938,4070.24389648438,"2353.00366210938_4070.24389648438",8690
2366.23413085938,4015.8916015625,"2366.23413085938_4015.8916015625",2574
2374.97973632812,3881.68774414062,"2374.97973632812_3881.68774414062",31726
2410.91064453125,3785.62670898438,"2410.91064453125_3785.62670898438",3953
2404.3662109375,3754.95532226562,"2404.3662109375_3754.95532226562",2867
2414.21508789062,3704.58569335938,"2414.21508789062_3704.58569335938",6466
2432.12744140625,3555.98291015625,"2432.12744140625_3555.98291015625",24405
2463.01025390625,3501.41162109375,"2463.01025390625_3501.41162109375",29812
2482.45971679688,3403.21997070312,"2482.45971679688_3403.21997070312",7233
2527.78833007812,3290.04248046875,"2527.78833007812_3290.04248046875",9311
2572.26928710938,3116.30004882812,"2572.26928710938_3116.30004882812",34388
2608.01123046875,3091.42114257812,"2608.01123046875_3091.42114257812",21251
2650.03637695312,3018.06567382812,"2650.03637695312_3018.06567382812",32205
2752.53125,2821.140625,"2752.53125_2821.140625",11493
2797.32177734375,2783.85083007812,"2797.32177734375_2783.85083007812",21172
2855.95629882812,2704.86865234375,"2855.95629882812_2704.86865234375",16792
2859.71166992188,2696.47412109375,"2859.71166992188_2696.47412109375",6682
2938.5068359375,2552.60473632812,"2938.5068359375_2552.60473632812",19843
2999.16162109375,2494.59643554688,"2999.16162109375_2494.59643554688",10663
3068.69799804688,2407.78271484375,"3068.69799804688_2407.78271484375",15134
3139.57666015625,2328.8994140625,"3139.57666015625_2328.8994140625",20604
3230.50146484375,2246.70751953125,"3230.50146484375_2246.70751953125",1001
3282.888671875,2220.71899414062,"3282.888671875_2220.71899414062",11459
3385.75708007812,2173.681640625,"3385.75708007812_2173.681640625",29596
